product,revenue,units,kg,n_invoices,rank,cum_pct_revenue,abc_class,volume_tier
Pig Heads Without Cheeks Each,2081128.35,23040.0,98243.26,1172,1,5.113792375671937,A,High Volume
French Polony 6 x 1kg,1355216.4,8090.0,48540.0,59,2,8.443858632135921,A,High Volume
Pork Trotters Mixed 10Kg,1129241.29,4005.0,39990.0,883,3,11.21865409301941,A,High Volume
RTE: American Hot Dog,1058375.11,60883.0,0.0,1543,4,13.819315685140312,A,Low Volume
French Polony 4 x 2kg,1027034.59,4914.0,39312.0,79,5,16.34296669200558,A,High Volume
RTE: Pork Stew & Pap 500g,878263.36,23543.0,2200.96,1507,6,18.5010539018598,A,High Volume
Russian Sausages 2kg,781322.0,5726.0,11452.0,1432,7,20.420934761944544,A,High Volume
Chicken Polony 4 x 2 Kg,621629.3,2290.0,18320.0,67,8,21.948415359109198,A,High Volume
RTE: Mini Ribs p/kg,577330.76,16316.0,5034.48,1433,9,23.36704465159319,A,High Volume
Chicken Polony 10 x 750g,546659.15,2040.0,15300.0,57,10,24.710307018549706,A,High Volume
Pork Meaty Bones 10Kg (Unit),534929.9,2321.0,23190.0,988,11,26.024748025582717,A,High Volume
Smoked Viennas 6 x 1kg,528945.67,1991.0,11946.0,74,12,27.324484456731078,A,High Volume
Pig Trotters Sliced 2 Kg,523049.86,9267.0,18534.0,1263,13,28.609733579479457,A,High Volume
French Polony 10 x 750g,522078.95,2517.0,18877.5,66,14,29.892596961744566,A,High Volume
Streaky Bacon 25 x 200g,521752.07,763.0,3815.0,57,15,31.174657127595008,A,High Volume
Eskort Cheese Griller 12 x 500g,516450.82,999.0,5994.0,75,16,32.44369095038903,A,High Volume
Supreme Drums 5kg,495654.84,1738.0,8690.0,624,17,33.66162445350857,A,High Volume
Russian Sausages 12 x 500g,479589.48,1116.0,6696.0,81,18,34.840081815966045,A,High Volume
Toplay Large 60's Eggs,463284.31,3538.0,13444.4,852,19,35.978473771583026,A,High Volume
Pre-Cooked Marinated Cocktail Ribs  6 x 1Kg,435509.26,855.0,5130.0,57,20,37.04861628985804,A,High Volume
CASE: Supreme Soup Pack 1kg x 10,424400.95,2461.0,24610.0,170,21,38.09146323504425,A,High Volume
Red Viennas 6 x 1kg,407764.75,1566.0,9396.0,76,22,39.09343135950797,A,High Volume
French Polony 4 x 2.5kg,406700.17,1550.0,15500.0,56,23,40.09278357559329,A,High Volume
Sliced Pork Leg Chops 2kg,400899.62,3394.0,6788.0,1078,24,41.07788255815521,A,High Volume
Red Viennas 12 x 500g,398698.41,1497.0,8982.0,69,25,42.05757268118415,A,High Volume
